MIMIC III ITEMID,MIMIC III LABEL,MIMIC III FLUID,MIMIC III CATEGORY,MIMIC III LOINC CODE,MIMIC II LOINC CODE,MIMIC II LOINC DESCRIPTION,MIMIC II ITEMID,COMMENTS
50852,% HEMOGLOBIN A1C,BLOOD,CHEMISTRY,4548-4,4548-4,Hemoglobin A1c (glycated HgB)/Hemoglobin.total [Moles] in Blood,50054,Duplicate v26 ITEMID with 50183
51066,24 HR CALCIUM,URINE,CHEMISTRY,,6874-2,Calcium [Mass/time] in 24 hour Urine,50253,
51067,24 HR CREATININE,URINE,CHEMISTRY,,2162-6,Creatinine [Mass/time] in 24 hour Urine,50254,
51068,24 HR PROTEIN,URINE,CHEMISTRY,,2889-4,Protein [Mass/time] in 24 hour Urine,50255,
50853,25-OH VITAMIN D,BLOOD,CHEMISTRY,,,,,
51011,<ALBUMIN>,CEREBROSPINAL FLUID (CSF),CHEMISTRY,,1746-7,Albumin [Mass/volume] in Cerebral spinal fluid,50199,
50854,ABSOLUTE A1C,BLOOD,CHEMISTRY,,4548-4,Hemoglobin A1c (glycated HgB)/Hemoglobin.total [Moles] in Blood,50183,
51130,ABSOLUTE CD3 COUNT,BLOOD,HEMATOLOGY,8124-0,8124-0,CD3 cells/100 cells in Blood,50352,
51131,ABSOLUTE CD4 COUNT,BLOOD,HEMATOLOGY,8128-1,8128-1,CD4 cells/100 cells in Blood,50356,
51132,ABSOLUTE CD8 COUNT,BLOOD,HEMATOLOGY,8138-0,8138-0,CD8 cells/100 cells in Blood,50367,
50855,ABSOLUTE HEMOGLOBIN,BLOOD,CHEMISTRY,,718-7,Hemoglobin [Mass/volume] in Blood,50184,
51133,ABSOLUTE LYMPHOCYTE COUNT,BLOOD,HEMATOLOGY,,26474-7,Lymphocytes [#/volume] in Blood,50320,
51134,ACANTHOCYTES,BLOOD,HEMATOLOGY,7789-1,7789-1,Acanthocytes [Presence] in Blood by Light microscopy,50324,
50856,ACETAMINOPHEN,BLOOD,CHEMISTRY,3297-9,3298-7,Acetaminophen [Mass/volume] in Serum or Plasma,50056,
50857,ACETONE,BLOOD,CHEMISTRY,5567-3,5567-3,Acetone [Presence] in Serum or Plasma,50057,
51521,ACID PHOS,BLOOD,CHEMISTRY,,1711-1,Acid phosphatase [Enzymatic activity/volume] in Blood,50058,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
50858,ACID PHOSPHATASE,BLOOD,CHEMISTRY,1715-2,,,50693,
50859,"ACID PHOSPHATASE, NON-PROSTATIC",BLOOD,CHEMISTRY,,,,50143,
51135,ADP,BLOOD,HEMATOLOGY,,,,50325,
51530,AF-AFP,OTHER BODY FLUID,CHEMISTRY,,,,50700,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
50860,"AFP, MATERNAL SCREEN",BLOOD,CHEMISTRY,,,,50687,
50861,ALANINE AMINOTRANSFERASE (ALT),BLOOD,CHEMISTRY,1742-6,1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,50062,
50862,ALBUMIN,BLOOD,CHEMISTRY,1751-7,1751-7,Albumin [Mass/volume] in Serum or Plasma,50060,
50835,"ALBUMIN, ASCITES",ASCITES,CHEMISTRY,,1749-1,Albumin [Mass/volume] in Peritoneal fluid,50037,
51025,"ALBUMIN, BODY FLUID",OTHER BODY FLUID,CHEMISTRY,,1747-5,Albumin [Mass/volume] in Body fluid,50211,
51019,"ALBUMIN, JOINT FLUID",JOINT FLUID,CHEMISTRY,,,,50227,
51046,"ALBUMIN, PLEURAL",PLEURAL,CHEMISTRY,,1748-3,Albumin [Mass/volume] in Pleural fluid,50234,
51069,"ALBUMIN, URINE",URINE,CHEMISTRY,,1754-1,Albumin [Mass/volume] in Urine,50288,
51070,"ALBUMIN/CREATININE, URINE",URINE,CHEMISTRY,14958-3,9318-7,Albumin/Creatinine [Mass ratio] in Urine,50287,
50863,ALKALINE PHOSPHATASE,BLOOD,CHEMISTRY,6768-6,1783-0,Alkaline phosphatase [Enzymatic activity/volume] in Blood,50061,
51136,ALPHA ANTIPLASMIN,BLOOD,HEMATOLOGY,,,,50327,
50864,ALPHA-FETOPROTEIN,BLOOD,CHEMISTRY,1834-1,1834-1,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,50059,
50801,ALVEOLAR-ARTERIAL GRADIENT,BLOOD,BLOOD GAS,,19991-9,Oxygen.alveolar - arterial [Partial pressure] Respiratory system,50001,
50865,AMIKACIN,BLOOD,CHEMISTRY,,,,,
50866,AMMONIA,BLOOD,CHEMISTRY,,16362-6,Ammonia [Moles/volume] in Plasma,50064,
51461,AMMONIUM BIURATE,URINE,HEMATOLOGY,,12454-5,Urate crystals amorphous [Presence] in Urine sediment by Light microscopy,50621,
51462,AMORPHOUS CRYSTALS,URINE,HEMATOLOGY,8246-1,8246-1,Amorphous sediment [Presence] in Urine sediment by Light microscopy,50622,
51071,"AMPHETAMINE SCREEN, URINE",URINE,CHEMISTRY,,3349-8,Amphetamines [Presence] in Urine,50289,
50867,AMYLASE,BLOOD,CHEMISTRY,6697-7,1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,50065,
50836,"AMYLASE, ASCITES",ASCITES,CHEMISTRY,,1797-0,Amylase [Enzymatic activity/volume] in Peritoneal fluid,50038,
51026,"AMYLASE, BODY FLUID",OTHER BODY FLUID,CHEMISTRY,,1795-4,Amylase [Enzymatic activity/volume] in Body fluid,50212,
51020,"AMYLASE, JOINT FLUID",JOINT FLUID,CHEMISTRY,,14388-3,Amylase [Enzymatic activity/volume] in Synovial fluid,50206,
51047,"AMYLASE, PLEURAL",PLEURAL,CHEMISTRY,,1796-2,Amylase [Enzymatic activity/volume] in Pleural fluid,50235,
51072,"AMYLASE, URINE",URINE,CHEMISTRY,,1799-6,Amylase [Enzymatic activity/volume] in Urine,50261,
51073,"AMYLASE/CREATININE RATIO, URINE",URINE,CHEMISTRY,,34235-2,Amylase/Creatinine [Ratio] in Urine,50260,
50868,ANION GAP,BLOOD,CHEMISTRY,1863-0,41276-7,Anion gap in Blood,50068,
51137,ANISOCYTOSIS,BLOOD,HEMATOLOGY,702-1,38892-6,Anisocytosis [Presence] in Blood,50326,
50869,ANTI-DGP (IGA/IGG),BLOOD,CHEMISTRY,,,,50696,
50870,"ANTI-GLIADIN ANTIBODY, IGA",BLOOD,CHEMISTRY,,7893-1,Gliadin Ab [Units/volume] in Serum,50110,
