itemid,label,fluid,category,valueuom,loinc,notes
50856,Acetaminophen,Blood,Chemistry,ug/mL,,
50867,Amylase,Blood,Chemistry,IU/L,,
50873,Anti-Nuclear Antibody,Blood,Chemistry,N/A,,
50874,"Anti-Nuclear Antibody, Titer",Blood,Chemistry,N/A,,
50893,"Calcium, Total",Blood,Chemistry,mg/dL,,
50903,Cholesterol Ratio (Total/HDL),Blood,Chemistry,Ratio,9830-1,Mass ratio is more common than molar ratio in the US
50911,"Creatine Kinase, MB Isoenzyme",Blood,Chemistry,ng/mL,13969-1,This is the LOINC code US labs use
50922,Ethanol,Blood,Chemistry,mg/dL,,
50937,Hepatitis A Virus Antibody,Blood,Chemistry,N/A|Pos/Neg,13951-9,More specific method
50940,Hepatitis B Surface Antibody,Blood,Chemistry,N/A,,
50941,Hepatitis B Surface Antigen,Blood,Chemistry,N/A,5196-1,More specific method
50942,Hepatitis B Virus Core Antibody,Blood,Chemistry,N/A,13952-7,More specific method
50946,Human Chorionic Gonadotropin,Blood,Chemistry,mIU/mL,,
50957,Lithium,Blood,Chemistry,mmol/L,,
50960,Magnesium,Blood,Chemistry,mg/dL,,
50967,Phenytoin,Blood,Chemistry,ug/mL,,
50981,Salicylate,Blood,Chemistry,mg/dL,,
50998,Transferrin,Blood,Chemistry,mg/dL,,
51000,Triglycerides,Blood,Chemistry,mg/dL,,
51010,Vitamin B12,Blood,Chemistry,pg/mL,,
51102,"Total Protein, Urine",Urine,Chemistry,mg/dL,,
51130,Absolute CD3 Count,Blood,Hematology,#/uL,,
51131,Absolute CD4 Count,Blood,Hematology,#/uL,24467-3,Corrected LOINC code is deprecated. No alternatives
51132,Absolute CD8 Count,Blood,Hematology,#/uL,14135-8,Corrected LOINC code is deprecated. No alternatives
51137,Anisocytosis,Blood,Hematology,N/A,,
51143,Atypical Lymphocytes,Blood,Hematology,%,,
51144,Bands,Blood,Hematology,%,,
51146,Basophils,Blood,Hematology,%,706-2,More specific method
51148,Blasts,Blood,Hematology,%,,
51176,"CD3 Cells, Percent",Blood,Hematology,%,,
51180,"CD4 Cells, Percent",Blood,Hematology,%,8123-2,Corrected LOINC code is deprecated
51194,"CD8 Cells, Percent",Blood,Hematology,%,8101-8,Corrected LOINC code is deprecated
