subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,reviewer_id,confidence,comment
mimic:220045,Heart Rate,skos:exactMatch,loinc:8867-4,Heart rate,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:220210,Respiratory Rate,skos:exactMatch,loinc:9279-1,Respiratory rate,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:220277,O2 saturation pulseoxymetry,skos:exactMatch,loinc:59408-5,Oxygen saturation in Arterial blood by Pulse oximetry,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:220179,Non Invasive Blood Pressure systolic,skos:exactMatch,loinc:76534-7,Systolic blood pressure by Noninvasive,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:220180,Non Invasive Blood Pressure diastolic,skos:exactMatch,loinc:76535-4,Diastolic blood pressure by Noninvasive,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:220181,Non Invasive Blood Pressure mean,skos:exactMatch,loinc:76536-2,Mean blood pressure by Noninvasive,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:220052,Arterial Blood Pressure mean,skos:exactMatch,loinc:8478-0,Mean blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:220050,Arterial Blood Pressure systolic,skos:exactMatch,loinc:8480-6,Systolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:220051,Arterial Blood Pressure diastolic,skos:exactMatch,loinc:8462-4,Diastolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:223761,Temperature Fahrenheit,skos:exactMatch,loinc:8310-5,Body temperature,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:220060,Pulmonary Artery Pressure diastolic,skos:exactMatch,loinc:8385-7,Pulmonary artery Diastolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:220059,Pulmonary Artery Pressure systolic,skos:exactMatch,loinc:8440-0,Pulmonary artery Systolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:220061,Pulmonary Artery Pressure mean,skos:exactMatch,loinc:8414-5,Pulmonary artery Mean blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:223762,Temperature Celsius,skos:exactMatch,loinc:8310-5,Body temperature,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:225312,ART BP Mean,skos:exactMatch,loinc:8478-0,Mean blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:225309,ART BP Systolic,skos:exactMatch,loinc:8480-6,Systolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:225310,ART BP Diastolic,skos:exactMatch,loinc:8462-4,Diastolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:226329,Blood Temperature CCO (C),skos:exactMatch,loinc:60834-9,Blood temperature,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:226531,Admission Weight (lbs.),skos:exactMatch,loinc:29463-7,Body weight,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:228640,EtCO2,skos:exactMatch,loinc:19891-1,Carbon dioxide [Partial pressure] in Exhaled gas --at end expiration,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:226512,Admission Weight (Kg),skos:exactMatch,loinc:29463-7,Body weight,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:227632,Arctic Sun/Alsius Temp #1 C,skos:closeMatch,loinc:8310-5,Body temperature,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,0.8,
mimic:227634,Arctic Sun/Alsius Temp #2 C,skos:closeMatch,loinc:8310-5,Body temperature,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,0.8,
mimic:226707,Height,skos:exactMatch,loinc:8302-2,Body height,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:226730,Height (cm),skos:exactMatch,loinc:8302-2,Body height,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:223763,Bladder Pressure,,,,,,,,No suitable LOINC code
mimic:224359,QTc,skos:exactMatch,loinc:8636-3,Q-T interval corrected,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:224167,Manual Blood Pressure Systolic Left,skos:closeMatch,loinc:8480-6,Systolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:224643,Manual Blood Pressure Diastolic Left,skos:closeMatch,loinc:8462-4,Diastolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:227243,Manual Blood Pressure Systolic Right,skos:closeMatch,loinc:8480-6,Systolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:227242,Manual Blood Pressure Diastolic Right,skos:closeMatch,loinc:8462-4,Diastolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:224192,Pulsus Paradoxus,skos:exactMatch,loinc:8452-5,Systolic blood pressure.inspiration - expiration,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:224646,Orthostatic BPs sitting,skos:exactMatch,loinc:8459-0,Systolic blood pressure--sitting,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:226094,Orthostatic BPd sitting,skos:exactMatch,loinc:8453-3,Diastolic blood pressure--sitting,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:224645,Orthostatic BPs lying,skos:exactMatch,loinc:8461-6,Systolic blood pressure--supine,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:226092,Orthostatic BPd lying,skos:exactMatch,loinc:8455-8,Diastolic blood pressure--supine,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:223765,Orthostatic HR sitting,skos:exactMatch,loinc:69000-8,Heart rate --sitting,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:224166,Doppler BP,,,,,,,,No suitable LOINC code
mimic:223766,Orthostatic BPs standing,skos:exactMatch,loinc:8460-8,Systolic blood pressure--standing,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:226096,Orthostatic BPd standing,skos:exactMatch,loinc:8454-1,Diastolic blood pressure--standing,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:223764,Orthostatic HR lying,skos:exactMatch,loinc:68999-2,Heart rate --supine,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:224647,Orthostatic HR standing,skos:exactMatch,loinc:69001-6,Heart rate --standing,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
northwestern:320045,skos:exactMatch,loinc:8867-4,semapv:ManualMappingCuration,PULSE,Heart rate,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
northwestern:320277,skos:exactMatch,loinc:59408-5,semapv:ManualMappingCuration,PULSE OXIMETRY,Oxygen saturation in Arterial blood by Pulse oximetry,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
northwestern:320210,skos:exactMatch,loinc:9279-1,semapv:ManualMappingCuration,RESPIRATIONS,Respiratory rate,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
northwestern:320180,skos:exactMatch,loinc:76535-4,semapv:ManualMappingCuration,BP DIASTOLIC,Diastolic blood pressure by Noninvasive,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
northwestern:320179,skos:exactMatch,loinc:76534-7,semapv:ManualMappingCuration,BP SYSTOLIC,Systolic blood pressure by Noninvasive,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
northwestern:323761,skos:exactMatch,loinc:8310-5,semapv:ManualMappingCuration,TEMPERATURE,Body temperature,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
northwestern:320051,skos:exactMatch,loinc:8462-4,semapv:ManualMappingCuration,R ARTERIAL LINE BLOOD PRESSURE,Diastolic blood pressure,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
northwestern:320050,skos:exactMatch,loinc:8480-6,semapv:ManualMappingCuration,R ARTERIAL LINE BLOOD PRESSURE,Systolic blood pressure,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
northwestern:326531,skos:exactMatch,loinc:29463-7,semapv:ManualMappingCuration,WEIGHT/SCALE,Body weight,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
northwestern:300001,skos:exactMatch,loinc:39156-5,semapv:ManualMappingCuration,R BMI,Body mass index (BMI) [Ratio],orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
northwestern:320051,skos:exactMatch,loinc:8462-4,semapv:ManualMappingCuration,R ARTERIAL LINE BLOOD PRESSURE 2,Diastolic blood pressure,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
northwestern:320050,skos:exactMatch,loinc:8480-6,semapv:ManualMappingCuration,R ARTERIAL LINE BLOOD PRESSURE 2,Systolic blood pressure,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
northwestern:326707,skos:exactMatch,loinc:8302-2,semapv:ManualMappingCuration,HEIGHT,Body height,orcid:0000-0001-8822-1885,orcid:0000-0002-9348-9285,1,												
