subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,confidence,comment,reviewer_id
mimic-itemid:220045,Heart Rate,skos:exactMatch,omop_id:3027018,Heart rate,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220210,Respiratory Rate,skos:exactMatch,omop_id:3024171,Respiratory rate,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220277,O2 saturation pulseoxymetry,skos:exactMatch,omop_id:40762499,Oxygen saturation in Arterial blood by Pulse oximetry,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220179,Non Invasive Blood Pressure systolic,skos:exactMatch,omop_id:21492239,Systolic blood pressure by Noninvasive,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220180,Non Invasive Blood Pressure diastolic,skos:exactMatch,omop_id:21492240,Diastolic blood pressure by Noninvasive,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220181,Non Invasive Blood Pressure mean,skos:exactMatch,omop_id:21492241,Mean blood pressure by Noninvasive,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220052,Arterial Blood Pressure mean,skos:exactMatch,omop_id:3027598,Mean blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220050,Arterial Blood Pressure systolic,skos:exactMatch,omop_id:3004249,Systolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220051,Arterial Blood Pressure diastolic,skos:exactMatch,omop_id:3012888,Diastolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:223761,Temperature Fahrenheit,skos:broadMatch,omop_id:3020891,Body temperature,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220060,Pulmonary Artery Pressure diastolic,skos:exactMatch,omop_id:3017188,Pulmonary artery Diastolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220059,Pulmonary Artery Pressure systolic,skos:exactMatch,omop_id:3005606,Pulmonary artery Systolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220061,Pulmonary Artery Pressure mean,skos:exactMatch,omop_id:3028074,Pulmonary artery Mean blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:223762,Temperature Celsius,skos:broadMatch,omop_id:3020891,Body temperature,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:225312,ART BP Mean,skos:exactMatch,omop_id:3027598,Mean blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:225309,ART BP Systolic,skos:exactMatch,omop_id:3004249,Systolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:225310,ART BP Diastolic,skos:exactMatch,omop_id:3012888,Diastolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:226329,Blood Temperature CCO (C),skos:broadMatch,omop_id:21490586,Blood temperature,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:226531,Admission Weight (lbs.),skos:broadMatch,omop_id:3025315,Body weight,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:228640,EtCO2,skos:exactMatch,omop_id:3035357,Carbon dioxide [Partial pressure] in Exhaled gas --at end expiration,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:226512,Admission Weight (Kg),skos:broadMatch,omop_id:3025315,Body weight,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:227632,Arctic Sun/Alsius Temp #1 C,skos:closeMatch,omop_id:3020891,Body temperature,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,0.8,,orcid:0000-0002-9348-9284
mimic-itemid:227634,Arctic Sun/Alsius Temp #2 C,skos:closeMatch,omop_id:3020891,Body temperature,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,0.8,,orcid:0000-0002-9348-9284
mimic-itemid:226707,Height,skos:broadMatch,omop_id:3036277,Body height,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:226730,Height (cm),skos:broadMatch,omop_id:3036277,Body height,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:224359,QTc,skos:exactMatch,omop_id:3026258,Q-T interval corrected,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:224167,Manual Blood Pressure Systolic Left,skos:broadMatch,omop_id:3004249,Systolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:224643,Manual Blood Pressure Diastolic Left,skos:broadMatch,omop_id:3012888,Diastolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:227243,Manual Blood Pressure Systolic Right,skos:broadMatch,omop_id:3004249,Systolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:227242,Manual Blood Pressure Diastolic Right,skos:broadMatch,omop_id:3012888,Diastolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:224192,Pulsus Paradoxus,skos:exactMatch,omop_id:3034464,Systolic blood pressure.inspiration - expiration,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:224646,Orthostatic BPs sitting,skos:exactMatch,omop_id:3018586,Systolic blood pressure--sitting,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:226094,Orthostatic BPd sitting,skos:exactMatch,omop_id:3034703,Diastolic blood pressure--sitting,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:224645,Orthostatic BPs lying,skos:exactMatch,omop_id:3009395,Systolic blood pressure--supine,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:226092,Orthostatic BPd lying,skos:exactMatch,omop_id:3013940,Diastolic blood pressure--supine,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:223765,Orthostatic HR sitting,skos:exactMatch,omop_id:40771525,Heart rate --sitting,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:223766,Orthostatic BPs standing,skos:exactMatch,omop_id:3035856,Systolic blood pressure--standing,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:226096,Orthostatic BPd standing,skos:exactMatch,omop_id:3019962,Diastolic blood pressure--standing,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:223764,Orthostatic HR lying,skos:exactMatch,omop_id:40771524,Heart rate --supine,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:224647,Orthostatic HR standing,skos:exactMatch,omop_id:40771526,Heart rate --standing,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
