subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,reviewer_id,confidence,comment
mimic:51221,Hematocrit,skos:exactMatch,loinc:4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",1,
mimic:50912,Creatinine,skos:exactMatch,loinc:2160-0,Creatinine [Mass/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:51265,Platelet Count,skos:exactMatch,loinc:777-3,Platelets [#/volume] in Blood by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",1,
mimic:51006,Urea Nitrogen,skos:exactMatch,loinc:3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:51222,Hemoglobin,skos:exactMatch,loinc:718-7,Hemoglobin [Mass/volume] in Blood,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",1,
mimic:51301,White Blood Cells,skos:exactMatch,loinc:6690-2,Leukocytes [#/volume] in Blood by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,Duplicate of itemid 51300
mimic:51249,MCHC,skos:exactMatch,loinc:786-4,MCHC [Mass/volume] by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",1,
mimic:51279,Red Blood Cells,skos:exactMatch,loinc:789-8,Erythrocytes [#/volume] in Blood by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",1,
mimic:51250,MCV,skos:exactMatch,loinc:787-2,MCV [Entitic volume] by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",1,
mimic:51248,MCH,skos:exactMatch,loinc:785-6,MCH [Entitic mass] by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",1,
mimic:51277,RDW,skos:exactMatch,loinc:788-0,Erythrocyte distribution width [Ratio] by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",1,
mimic:50971,Potassium,skos:exactMatch,loinc:2823-3,Potassium [Moles/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50983,Sodium,skos:exactMatch,loinc:2951-2,Sodium [Moles/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50902,Chloride,skos:exactMatch,loinc:2075-0,Chloride [Moles/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50882,Bicarbonate,skos:exactMatch,loinc:1963-8,Bicarbonate [Moles/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50868,Anion Gap,skos:exactMatch,loinc:1863-0,Anion gap 4 in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50931,Glucose,skos:exactMatch,loinc:2345-7,Glucose [Mass/volume] in Serum or Plasma,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,,
mimic:50893,"Calcium, Total",skos:exactMatch,loinc:17861-6,Calcium [Mass/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50960,Magnesium,skos:exactMatch,loinc:19123-9,Magnesium [Mass/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50970,Phosphate,skos:exactMatch,loinc:2777-1,Phosphate [Mass/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50934,H,,,,,,,,Not a lab test
mimic:51678,L,,,,,,,,Not a lab test
mimic:50947,I,,,,,,,,Not a lab test
mimic:51237,INR(PT),skos:exactMatch,loinc:6301-6,INR in Platelet poor plasma by Coagulation assay,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:51274,PT,skos:exactMatch,loinc:5902-2,Prothrombin time (PT),HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50920,Estimated GFR (MDRD equation),skos:exactMatch,loinc:77147-7,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:52172,RDW-SD,skos:exactMatch,loinc:21000-5,Erythrocyte distribution width [Entitic volume] by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
