subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,reviewer_id,confidence,comment
mimic:51221,Hematocrit,skos:exactMatch,omop:3023314,Hematocrit [Volume Fraction] of Blood by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",1,
mimic:50912,Creatinine,skos:exactMatch,omop:3016723,Creatinine [Mass/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:51265,Platelet Count,skos:exactMatch,omop:3024929,Platelets [#/volume] in Blood by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",1,
mimic:51006,Urea Nitrogen,skos:exactMatch,omop:3013682,Urea nitrogen [Mass/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:51222,Hemoglobin,skos:exactMatch,omop:3000963,Hemoglobin [Mass/volume] in Blood,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",1,
mimic:51301,White Blood Cells,skos:exactMatch,omop:3000905,Leukocytes [#/volume] in Blood by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,Duplicate of itemid 51300
mimic:51249,MCHC,skos:exactMatch,omop:3009744,MCHC [Mass/volume] by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",1,
mimic:51279,Red Blood Cells,skos:exactMatch,omop:3020416,Erythrocytes [#/volume] in Blood by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",1,
mimic:51250,MCV,skos:exactMatch,omop:3023599,MCV [Entitic volume] by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",1,
mimic:51248,MCH,skos:exactMatch,omop:3012030,MCH [Entitic mass] by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",1,
mimic:51277,RDW,skos:exactMatch,omop:3019897,Erythrocyte distribution width [Ratio] by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",1,
mimic:50971,Potassium,skos:exactMatch,omop:3023103,Potassium [Moles/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50983,Sodium,skos:exactMatch,omop:3019550,Sodium [Moles/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50902,Chloride,skos:exactMatch,omop:3014576,Chloride [Moles/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50882,Bicarbonate,skos:exactMatch,omop:3016293,Bicarbonate [Moles/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50868,Anion Gap,skos:exactMatch,omop:3037278,Anion gap 4 in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50931,Glucose,skos:exactMatch,omop:3004501,Glucose [Mass/volume] in Serum or Plasma,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,,
mimic:50893,"Calcium, Total",skos:exactMatch,omop:3006906,Calcium [Mass/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50960,Magnesium,skos:exactMatch,omop:3001420,Magnesium [Mass/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50970,Phosphate,skos:exactMatch,omop:3011904,Phosphate [Mass/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50934,H,,,,,,,,Not a lab test
mimic:51678,L,,,,,,,,Not a lab test
mimic:50947,I,,,,,,,,Not a lab test
mimic:51237,INR(PT),skos:exactMatch,omop:3022217,INR in Platelet poor plasma by Coagulation assay,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:51274,PT,skos:exactMatch,omop:3034426,Prothrombin time (PT),HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50920,Estimated GFR (MDRD equation),skos:exactMatch,omop:46236952,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:52172,RDW-SD,skos:exactMatch,omop:3015182,Erythrocyte distribution width [Entitic volume] by Automated count,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50861,Alanine Aminotransferase (ALT),skos:exactMatch,omop:3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:50878,Asparate Aminotransferase (AST),skos:exactMatch,omop:3013721,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
mimic:51275,PTT,skos:exactMatch,omop:3018677,aPTT in Platelet poor plasma by Coagulation assay,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,,
mimic:51244,Lymphocytes,skos:exactMatch,omop:3037511,Lymphocytes/100 leukocytes in Blood by Automated count,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:51256,Neutrophils,skos:exactMatch,omop:3008342,Neutrophils/100 leukocytes in Blood by Automated count,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:51254,Monocytes,skos:exactMatch,omop:3011948,Monocytes/100 leukocytes in Blood by Automated count,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:51146,Basophils,skos:exactMatch,omop:3013869,Basophils/100 leukocytes in Blood by Automated count,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:51200,Eosinophils,skos:exactMatch,omop:3010457,Eosinophils/100 leukocytes in Blood by Automated count,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,1,
mimic:50885,"Bilirubin, Total",skos:exactMatch,omop:3024128,Bilirubin.total [Mass/volume] in Serum or Plasma,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",,
