subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,confidence,comment,reviewer_id
mimic-itemid:51221,Hematocrit,skos:exactMatch,omop_id:3023314,Hematocrit [Volume Fraction] of Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:50912,Creatinine,skos:exactMatch,omop_id:3016723,Creatinine [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:51265,Platelet Count,skos:exactMatch,omop_id:3024929,Platelets [#/volume] in Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:51006,Urea Nitrogen,skos:exactMatch,omop_id:3013682,Urea nitrogen [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:51222,Hemoglobin,skos:exactMatch,omop_id:3000963,Hemoglobin [Mass/volume] in Blood,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:51301,White Blood Cells,skos:exactMatch,omop_id:3000905,Leukocytes [#/volume] in Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,Duplicate of itemid 51300,orcid:0000-0002-9348-9284
mimic-itemid:51249,MCHC,skos:exactMatch,omop_id:3009744,MCHC [Mass/volume] by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:51279,Red Blood Cells,skos:exactMatch,omop_id:3020416,Erythrocytes [#/volume] in Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:51250,MCV,skos:exactMatch,omop_id:3023599,MCV [Entitic volume] by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:51248,MCH,skos:exactMatch,omop_id:3012030,MCH [Entitic mass] by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:51277,RDW,skos:exactMatch,omop_id:3019897,Erythrocyte distribution width [Ratio] by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:50971,Potassium,skos:exactMatch,omop_id:3023103,Potassium [Moles/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:50983,Sodium,skos:exactMatch,omop_id:3019550,Sodium [Moles/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:50902,Chloride,skos:exactMatch,omop_id:3014576,Chloride [Moles/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:50882,Bicarbonate,skos:exactMatch,omop_id:3016293,Bicarbonate [Moles/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
