subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,confidence,comment,reviewer_id
mimic-ndc:49281058958,MENINGOcoccal Conj Vaccine (Menactra,skos:exactMatch,rxnorm:797641,0.5 ML Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria meningitidis serogroup C capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria m...,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:58160082152,Hepatitis B Vaccine (20 mcg/mL),skos:exactMatch,rxnorm:798428,1 ML hepatitis B surface antigen vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B],semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:58160082152,Hepatitis B Vaccine (Engerix-B 20 mcg/mL),skos:exactMatch,rxnorm:798428,1 ML hepatitis B surface antigen vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B],semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:58160082652,Hepatitis A Vaccine,skos:exactMatch,rxnorm:798479,1 ML hepatitis A vaccine (inactivated) strain HM175 1440 UNT/ML Prefilled Syringe [Havrix],semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:51079058820,Thiothixene,skos:exactMatch,rxnorm:313366,thiothixene 5 MG Oral Capsule,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:79802020030,Belumosudil *NF*,skos:exactMatch,rxnorm:2564037,belumosudil 200 MG Oral Tablet [Rezurock],semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:023916330,CYCLOSPORINE 0.05% OPHTH EMULSION,skos:exactMatch,rxnorm:2572293,0.4 ML cyclosporine 0.5 MG/ML Ophthalmic Suspension [Restasis],semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:023916330,Cyclosporine 0.05% Ophth Emulsion,skos:exactMatch,rxnorm:2572293,0.4 ML cyclosporine 0.5 MG/ML Ophthalmic Suspension [Restasis],semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:023916330,RESTASIS,skos:exactMatch,rxnorm:2572293,0.4 ML cyclosporine 0.5 MG/ML Ophthalmic Suspension [Restasis],semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:47335076583,PALIperidone ER,skos:exactMatch,rxnorm:672567,24 HR paliperidone 3 MG Extended Release Oral Tablet,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:42292002720,PALIperidone ER,skos:exactMatch,rxnorm:672569,24 HR paliperidone 6 MG Extended Release Oral Tablet,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:49884003201,Tranylcypromine Sulfate,skos:exactMatch,rxnorm:313447,tranylcypromine 10 MG Oral Tablet,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:59762371809,TRIAzolam,skos:exactMatch,rxnorm:198318,triazolam 0.25 MG Oral Tablet,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:70010075401,Methocarbamol,skos:exactMatch,rxnorm:197943,methocarbamol 500 MG Oral Tablet,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:51079057320,Trifluoperazine HCl,skos:exactMatch,rxnorm:198324,trifluoperazine 2 MG Oral Tablet,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:68084031901,LamoTRIgine,skos:exactMatch,rxnorm:198427,lamotrigine 100 MG Oral Tablet,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:68084031901,LaMICtaL,skos:exactMatch,rxnorm:198427,lamotrigine 100 MG Oral Tablet,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:50474059540,LevETIRAcetam,skos:exactMatch,rxnorm:261336,levetiracetam 500 MG Oral Tablet [Keppra],semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:904605161,LevETIRAcetam,skos:exactMatch,rxnorm:311288,levetiracetam 250 MG Oral Tablet,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:904605261,LevETIRAcetam,skos:exactMatch,rxnorm:311289,levetiracetam 500 MG Oral Tablet,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:31722053712,LevETIRAcetam,skos:exactMatch,rxnorm:311289,levetiracetam 500 MG Oral Tablet,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:904605261,LevETIRAcetam Oral Solution,skos:exactMatch,rxnorm:311289,levetiracetam 500 MG Oral Tablet,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:904605261,LeVETiracetam,skos:exactMatch,rxnorm:311289,levetiracetam 500 MG Oral Tablet,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:51224001310,LevETIRAcetam,skos:exactMatch,rxnorm:647121,5 ML levetiracetam 100 MG/ML Injection,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:67457079005,LevETIRAcetam,skos:exactMatch,rxnorm:647121,5 ML levetiracetam 100 MG/ML Injection,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:51224001310,LevETIRAcetam - STAT Dose,skos:exactMatch,rxnorm:647121,5 ML levetiracetam 100 MG/ML Injection,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:67457079005,LevETIRAcetam - STAT Dose,skos:exactMatch,rxnorm:647121,5 ML levetiracetam 100 MG/ML Injection,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
