subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,confidence,comment,reviewer_id
mimic-itemid:220045,Heart Rate,skos:exactMatch,loinc:8867-4,Heart rate,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220210,Respiratory Rate,skos:exactMatch,loinc:9279-1,Respiratory rate,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220277,O2 saturation pulseoxymetry,skos:exactMatch,loinc:59408-5,Oxygen saturation in Arterial blood by Pulse oximetry,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220179,Non Invasive Blood Pressure systolic,skos:exactMatch,loinc:76534-7,Systolic blood pressure by Noninvasive,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220180,Non Invasive Blood Pressure diastolic,skos:exactMatch,loinc:76535-4,Diastolic blood pressure by Noninvasive,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220181,Non Invasive Blood Pressure mean,skos:exactMatch,loinc:76536-2,Mean blood pressure by Noninvasive,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220052,Arterial Blood Pressure mean,skos:exactMatch,loinc:8478-0,Mean blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220050,Arterial Blood Pressure systolic,skos:exactMatch,loinc:8480-6,Systolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220051,Arterial Blood Pressure diastolic,skos:exactMatch,loinc:8462-4,Diastolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:223761,Temperature Fahrenheit,skos:broadMatch,loinc:8310-5,Body temperature,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220060,Pulmonary Artery Pressure diastolic,skos:exactMatch,loinc:8385-7,Pulmonary artery Diastolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220059,Pulmonary Artery Pressure systolic,skos:exactMatch,loinc:8440-0,Pulmonary artery Systolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:220061,Pulmonary Artery Pressure mean,skos:exactMatch,loinc:8414-5,Pulmonary artery Mean blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:223762,Temperature Celsius,skos:broadMatch,loinc:8310-5,Body temperature,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:225312,ART BP Mean,skos:exactMatch,loinc:8478-0,Mean blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:225309,ART BP Systolic,skos:exactMatch,loinc:8480-6,Systolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:225310,ART BP Diastolic,skos:exactMatch,loinc:8462-4,Diastolic blood pressure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:226329,Blood Temperature CCO (C),skos:broadMatch,loinc:60834-9,Blood temperature,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
mimic-itemid:226531,Admission Weight (lbs.),skos:broadMatch,loinc:29463-7,Body weight,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1.0,,orcid:0000-0002-9348-9284
