subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,confidence,comment,reviewer_id
mimic-itemid:224275,20 Gauge,skos:broadMatch,omop_id:4049832,Peripheral venous cannula insertion,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225459,Chest X-Ray,skos:exactMatch,omop_id:4163872,Plain chest X-ray,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:224277,18 Gauge,skos:broadMatch,omop_id:4049832,Peripheral venous cannula insertion,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225402,EKG,skos:exactMatch,omop_id:4163951,Electrocardiographic procedure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225752,Arterial Line,skos:broadMatch,omop_id:4213288,Insertion of catheter into artery,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225792,Invasive Ventilation,skos:exactMatch,omop_id:44790095,Invasive ventilation,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225401,Blood Cultured,skos:exactMatch,omop_id:4107893,Blood culture,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:227194,Extubation,skos:exactMatch,omop_id:4150627,Removal of endotracheal tube,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:224274,22 Gauge,skos:broadMatch,omop_id:4049832,Peripheral venous cannula insertion,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:224263,Multi Lumen,skos:broadMatch,omop_id:4052413,Central venous cannula insertion,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:221214,CT scan,skos:exactMatch,omop_id:4300757,Computed tomography,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:229351,Foley Catheter,skos:closeMatch,omop_id:4076762,Insertion of indwelling urethral catheter,semapv:ManualMappingCuration,orcid:0000-0002-9348-9284,1,,orcid:0000-0001-8822-1884
mimic-itemid:228129,Family updated by RN,skos:closeMatch,omop_id:46273928,Liaising with family,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225469,OR Received,skos:closeMatch,omop_id:4265599,Patient transfer to intensive care unit,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:224276,16 Gauge,skos:broadMatch,omop_id:4049832,Peripheral venous cannula insertion,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:229581,Portable Chest X-Ray,skos:broadMatch,omop_id:4163872,Plain chest X-ray,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:224264,PICC Line,skos:closeMatch,omop_id:4322380,Insertion of peripherally inserted central catheter,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225454,Urine Culture,skos:exactMatch,omop_id:4024509,Urine culture,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225432,Transthoracic Echo,skos:exactMatch,omop_id:4335825,Transthoracic echocardiography,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:221217,Ultrasound,skos:exactMatch,omop_id:4037672,Ultrasonography,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225966,Nasal Swab,skos:exactMatch,omop_id:4208080,Taking nasal swab,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:228128,Family updated by MD,skos:closeMatch,omop_id:46273928,Liaising with family,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:224385,Intubation,skos:exactMatch,omop_id:4013354,Insertion of endotracheal tube,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225451,Sputum Culture,skos:narrowMatch,omop_id:4015189,Microbial culture of sputum,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225470,OR Sent,skos:closeMatch,omop_id:4162219,Patient transfer to postoperative anesthesia care unit,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:221216,X-ray,skos:exactMatch,omop_id:4056681,Plain radiography,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:223253,Magnetic Resonance Imaging,skos:exactMatch,omop_id:4013636,Magnetic resonance imaging,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225400,Bronchoscopy,skos:exactMatch,omop_id:4032404,Bronchoscopy,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:224267,Cordis/Introducer,skos:closeMatch,omop_id:4052413,Central venous cannula insertion,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:224560,PA Catheter,skos:closeMatch,omop_id:4279768,Pulmonary catheterization with Swan-Ganz catheter,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:224270,Dialysis Catheter,skos:closeMatch,omop_id:4267880,"Insertion of cannula for hemodialysis, vein to vein",semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225441,Hemodialysis,skos:exactMatch,omop_id:4120120,Hemodialysis,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:227712,Chest Tube Removed,skos:closeMatch,omop_id:4030842,Intercostal drain removal,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225802,Dialysis - CRRT,skos:closeMatch,omop_id:37018292,Continuous renal replacement therapy,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225794,Non-invasive Ventilation,skos:exactMatch,omop_id:4177224,Noninvasive ventilation,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225814,Stool Culture,skos:exactMatch,omop_id:4024963,Stool culture,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:221223,EEG,skos:exactMatch,omop_id:4181917,Electroencephalogram,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225444,Pan Culture,skos:closeMatch,omop_id:4107893,Blood culture,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
