subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,confidence,comment,reviewer_id
mimic-itemid:224275,20 Gauge,skos:broadMatch,snomed:233520008,Peripheral venous cannula insertion,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225459,Chest X-Ray,skos:exactMatch,snomed:399208008,Plain chest X-ray,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:224277,18 Gauge,skos:broadMatch,snomed:233520008,Peripheral venous cannula insertion,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225402,EKG,skos:exactMatch,snomed:29303009,Electrocardiographic procedure,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225752,Arterial Line,skos:broadMatch,snomed:392247006,Insertion of catheter into artery,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225792,Invasive Ventilation,skos:exactMatch,snomed:226471000000101,Invasive ventilation,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225401,Blood Cultured,skos:exactMatch,snomed:30088009,Blood culture,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:227194,Extubation,skos:exactMatch,snomed:271280005,Removal of endotracheal tube,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:224274,22 Gauge,skos:broadMatch,snomed:233520008,Peripheral venous cannula insertion,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:224263,Multi Lumen,skos:broadMatch,snomed:233527006,Central venous cannula insertion,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:221214,CT scan,skos:exactMatch,snomed:77477000,Computerized axial tomography,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:229351,Foley Catheter,skos:closeMatch,snomed:225088003,Insertion of indwelling urethral catheter,semapv:ManualMappingCuration,orcid:0000-0002-9348-9284,1,,orcid:0000-0001-8822-1884
mimic-itemid:228129,Family updated by RN,skos:closeMatch,snomed:711066004,Liaising with family,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225469,OR Received,skos:closeMatch,snomed:397821002,Patient transfer to intensive care unit,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:224276,16 Gauge,skos:broadMatch,snomed:233520008,Peripheral venous cannula insertion,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:229581,Portable Chest X-Ray,skos:broadMatch,snomed:399208008,Plain chest X-ray,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:224264,PICC Line,skos:closeMatch,snomed:425196008,Insertion of peripherally inserted central catheter,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225454,Urine Culture,skos:exactMatch,snomed:117010004,Urine culture,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225432,Transthoracic Echo,skos:exactMatch,snomed:433236007,Transthoracic echocardiography,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:221217,Ultrasound,skos:exactMatch,snomed:16310003,Ultrasonography,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225966,Nasal Swab,skos:exactMatch,snomed:312882009,Taking nasal swab,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:228128,Family updated by MD,skos:closeMatch,snomed:711066004,Liaising with family,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:224385,Intubation,skos:exactMatch,snomed:112798008,Insertion of endotracheal tube,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225451,Sputum Culture,skos:narrowMatch,snomed:104173009,Microbial culture of sputum,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:225470,OR Sent,skos:closeMatch,snomed:398068008,Patient transfer to postoperative anesthesia care unit,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-itemid:221216,X-ray,skos:exactMatch,snomed:168537006,Plain radiography,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
