itemid,label,class,ordercategorydescription,amountuom,omop_conceptid,rxnorm,author_id,reviewer_id,itemid_version,mapping_date,confidence,comment,row_count
221906,Norepinephrine,Clinical Drug Form,Continuous Med,mg,35603731,1745276,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,353659
222168,Propofol,Clinical Drug Form,Continuous Med,mg,40220385,1808216,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,339218
221749,Phenylephrine,Clinical Drug Form,Continuous Med,mg,46287544,1666371,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,203138
221744,Fentanyl,Clinical Drug Form,Drug Push,mcg,35603427,1735002,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,201660
225166,Potassium Chloride,Clinical Drug Form,Continuous IV,mEq,1718692,1860131,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,184507
225975,Heparin Sodium (Prophylaxis),Clinical Drug Form,Drug Push,dose,1718457,1857598,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,159427
223258,Insulin - Regular,Clinical Drug Form,Drug Push,units,1361259,2179743,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,154343
223258,Insulin - Regular,Clinical Drug Form,Continuous Med,units,1361259,2179743,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,142747
225942,Fentanyl (Concentrate),Clinical Drug Form,Continuous Med,mg,35603427,1735002,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,117284
225798,Vancomycin,Clinical Drug Form,Drug Push,dose,40221349,1807507,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,115630
227522,KCL (Bolus),Clinical Drug Form,Continuous IV,ml,1718692,1860131,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,103944
221833,Hydromorphone (Dilaudid),Branded Drug Form,Drug Push,mg,35603598,1724273,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,97747
223262,Insulin - Humalog,Branded Drug Form,Drug Push,units,40166275,865097,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,88725
221794,Furosemide (Lasix),Branded Drug Form,Drug Push,mg,40040332,287524,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,83711
222168,Propofol,Clinical Drug Form,Drug Push,mg,40220385,1808216,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,80695
222056,Nitroglycerin,Clinical Drug Form,Continuous Med,mg,1593968,1868493,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,79847
