itemid (omop_source_code),label,omop_concept_id,omop_concept_name,omop_domain_id,omop_vocabulary_id,omop_concept_class_id,omop_standard_concept,omop_concept_code,sssom_author_id,sssom_reviewer_id,sssom_subject_source_version,common_vocabulary_version,sssom_mapping_tool,sssom_mapping_date,sssom_confidence,sssom_comment
,SR (Sinus Rhythm),45877096,Sinus rhythm,Meas Value,LOINC,Answer,S,LA17718-0,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
,ST (Sinus Tachycardia),45879290,Sinus tachycardia,Meas Value,LOINC,Answer,S,LA17099-5,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
,AF (Atrial Fibrillation),45883018,Atrial fibrillation,Meas Value,LOINC,Answer,S,LA17084-7,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
,SB (Sinus Bradycardia),21499419,Sinus bradycardia,Meas Value,LOINC,Answer,S,LA17098-7,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
,1st AV (First degree AV Block),45884784,AV block-1st degree,Meas Value,LOINC,Answer,S,LA17086-2,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
,A Flut (Atrial Flutter),45883019,Atrial flutter,Meas Value,LOINC,Answer,S,LA17085-4,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
,RBBB (Right Bundle Branch Block),45883022,Right bundle branch block,Meas Value,LOINC,Answer,S,LA17096-1,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
,LBBB (Left Bundle Branch Block),45883893,Left bundle branch block,Meas Value,LOINC,Answer,S,LA17091-2,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
,SA (Sinus Arrhythmia),45884787,Sinus arrhythmia,Meas Value,LOINC,Answer,S,LA17097-9,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
,JR (Junctional Rhythm),45881038,Junctional,Meas Value,LOINC,Answer,S,LA17090-4,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
