subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,confidence,comment,reviewer_id
mimic-ndc:49281058958,MENINGOcoccal Conj Vaccine (Menactra,skos:exactMatch,omop_id:528299,0.5 ML Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria meningitidis serogroup C capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria m...,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:58160082152,Hepatitis B Vaccine (20 mcg/mL),skos:exactMatch,omop_id:528328,1 ML hepatitis B surface antigen vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B],semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:58160082152,Hepatitis B Vaccine (Engerix-B 20 mcg/mL),skos:exactMatch,omop_id:528328,1 ML hepatitis B surface antigen vaccine 0.02 MG/ML Prefilled Syringe [Engerix-B],semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:58160082652,Hepatitis A Vaccine,skos:exactMatch,omop_id:529685,1 ML hepatitis A vaccine (inactivated) strain HM175 1440 UNT/ML Prefilled Syringe [Havrix],semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:51079058820,Thiothixene,skos:exactMatch,omop_id:700498,thiothixene 5 MG Oral Capsule,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:79802020030,Belumosudil *NF*,skos:exactMatch,omop_id:701435,belumosudil 200 MG Oral Tablet [Rezurock],semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:023916330,CYCLOSPORINE 0.05% OPHTH EMULSION,skos:exactMatch,omop_id:702619,0.4 ML cyclosporine 0.5 MG/ML Ophthalmic Suspension [Restasis],semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:023916330,Cyclosporine 0.05% Ophth Emulsion,skos:exactMatch,omop_id:702619,0.4 ML cyclosporine 0.5 MG/ML Ophthalmic Suspension [Restasis],semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:023916330,RESTASIS,skos:exactMatch,omop_id:702619,0.4 ML cyclosporine 0.5 MG/ML Ophthalmic Suspension [Restasis],semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
mimic-ndc:47335076583,PALIperidone ER,skos:exactMatch,omop_id:703246,24 HR paliperidone 3 MG Extended Release Oral Tablet,semapv:MappingChaining,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
