itemid (omop_source_code),label,omop_concept_id,omop_concept_name,omop_domain_id,omop_vocabulary_id,omop_concept_class_id,omop_standard_concept,omop_concept_code,sssom_author_id,sssom_reviewer_id,sssom_subject_source_version,common_vocabulary_version,sssom_mapping_tool,sssom_mapping_date,sssom_confidence,sssom_comment
224183,PICC Line Cap Change,4194123,Peripherally inserted central catheter care,Procedure,SNOMED,Procedure,S,392020005,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224184,PICC Line Insertion Date,4322380,Insertion of peripherally inserted central catheter,Procedure,SNOMED,Procedure,S,425196008,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224185,PICC Line Change over Wire Date,4194123,Peripherally inserted central catheter care,Procedure,SNOMED,Procedure,S,392020005,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224186,PICC Line Dressing Change,4194123,Peripherally inserted central catheter care,Procedure,SNOMED,Procedure,S,392020005,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224187,PICC Line Tubing Change,4194123,Peripherally inserted central catheter care,Procedure,SNOMED,Procedure,S,392020005,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224261,Multi Lumen Cap Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224262,Multi Lumen Change over Wire Date,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224279,Multi Lumen Dressing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224280,Multi Lumen Insertion Date,4141149,Open insertion of central venous catheter,Procedure,SNOMED,Procedure,S,265546000,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224282,Multi Lumen Tubing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224284,Arterial line Cap Change,4172032,Arterial catheter care,Procedure,SNOMED,Procedure,S,422744007,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224285,Arterial line Change over Wire Date,4172032,Arterial catheter care,Procedure,SNOMED,Procedure,S,422744007,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224287,Arterial Line Dressing Change,4172032,Arterial catheter care,Procedure,SNOMED,Procedure,S,422744007,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224288,Arterial line Insertion Date,4213288,Insertion of catheter into artery,Procedure,SNOMED,Procedure,S,392247006,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224290,Arterial line Tubing Change,4172032,Arterial catheter care,Procedure,SNOMED,Procedure,S,422744007,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224292,Cordis/Introducer Cap Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224293,Cordis/Introducer Change over Wire Date,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224295,Cordis/Introducer Dressing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224296,Cordis/Introducer Insertion Date,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224298,Cordis/Introducer Tubing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
224878,GU Catheter Insertion Date,36715149,Introduction of urinary catheter,Procedure,SNOMED,Procedure,S,720649006,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225083,Pregnancy due date,3011536,Delivery date Estimated,Observation,LOINC,Clinical Observation,S,11778-8,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
225128,Last dialysis,40770939,Date last dialysis treatment,Observation,LOINC,Survey,S,68349-0,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
225213,Trauma Line Cap Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225214,Trauma Line Change over Wire Date,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225216,Trauma Line Dressing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225218,Trauma Line Tubing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225221,CCO PAC Cap Change,4310984,Pulmonary artery catheter care,Procedure,SNOMED,Procedure,S,422463007,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225222,CCO PAC Change over Wire Date,4310984,Pulmonary artery catheter care,Procedure,SNOMED,Procedure,S,422463007,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225224,CCO PAC Dressing Change,4310984,Pulmonary artery catheter care,Procedure,SNOMED,Procedure,S,422463007,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225226,CCO PAC Tubing Change,4310984,Pulmonary artery catheter care,Procedure,SNOMED,Procedure,S,422463007,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225316,CCO PAC Insertion Date,4305794,Introduction of catheter into pulmonary artery,Procedure,SNOMED,Procedure,S,82936005,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225317,Trauma Line Insertion Date,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225318,Dialysis Catheter Cap Change,4147716,Care of hemodialysis equipment,Procedure,SNOMED,Procedure,S,310489004,0000-0002-9348-9284,0000-0001-8822-1884,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225319,Dialysis Catheter Change over Wire Date,4147716,Care of hemodialysis equipment,Procedure,SNOMED,Procedure,S,310489004,0000-0002-9348-9284,0000-0001-8822-1884,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225321,Dialysis Catheter Dressing Change,4147716,Care of hemodialysis equipment,Procedure,SNOMED,Procedure,S,310489004,0000-0002-9348-9284,0000-0001-8822-1884,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225322,Dialysis Catheter Insertion Date,42537496,Insertion of hemodialysis catheter,Procedure,SNOMED,Procedure,S,736919006,0000-0002-9348-9284,0000-0001-8822-1884,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225324,Dialysis CatheterTubing Change,4147716,Care of hemodialysis equipment,Procedure,SNOMED,Procedure,S,310489004,0000-0002-9348-9284,0000-0001-8822-1884,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225327,Tunneled (Hickman) Cap Change,4235228,Care of Hickman catheter,Procedure,SNOMED,Procedure,S,438528002,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225328,Tunneled (Hickman) Change over Wire Date,4235228,Care of Hickman catheter,Procedure,SNOMED,Procedure,S,438528002,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225329,Tunneled (Hickman) Dressing Change,4235228,Care of Hickman catheter,Procedure,SNOMED,Procedure,S,438528002,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225330,Tunneled (Hickman) Insertion Date,40482732,Insertion of tunneled venous catheter,Procedure,SNOMED,Procedure,S,442309004,0000-0002-9348-9284,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225332,Tunneled (Hickman) Tubing Change,4235228,Care of Hickman catheter,Procedure,SNOMED,Procedure,S,438528002,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225336,IABP Change over Wire Date,4309033,Percutaneous insertion of intra-aortic balloon catheter,Procedure,SNOMED,Procedure,S,83676006,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225337,IABP Dressing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225338,IABP Insertion Date,4309033,Percutaneous insertion of intra-aortic balloon catheter,Procedure,SNOMED,Procedure,S,83676006,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225340,IABP Tubing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225343,Midline Cap Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225344,Midline Change over Wire Date,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225345,Midline Dressing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225346,Midline Insertion Date,42689574,Ultrasonography guided insertion of midline intravenous catheter,Procedure,SNOMED,Procedure,S,1065621000000107,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225348,Midline Tubing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225351,PA Catheter Cap Change,4310984,Pulmonary artery catheter care,Procedure,SNOMED,Procedure,S,422463007,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225352,PA Catheter Change over Wire Date,4310984,Pulmonary artery catheter care,Procedure,SNOMED,Procedure,S,422463007,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225353,PA Catheter Dressing Change,4310984,Pulmonary artery catheter care,Procedure,SNOMED,Procedure,S,422463007,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225354,PA Catheter Insertion Date,4305794,Introduction of catheter into pulmonary artery,Procedure,SNOMED,Procedure,S,82936005,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225356,PA Catheter Tubing Change,4310984,Pulmonary artery catheter care,Procedure,SNOMED,Procedure,S,422463007,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
