subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,reviewer_id,comment
mimic:224275,20 Gauge,skos:closeMatch,snomed:233520008,Peripheral venous cannula insertion,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225459,Chest X-Ray,skos:closeMatch,snomed:399208008,Plain chest X-ray,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:224277,18 Gauge,skos:closeMatch,snomed:233520008,Peripheral venous cannula insertion,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225402,EKG,skos:closeMatch,snomed:29303009,Electrocardiographic procedure,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225752,Arterial Line,skos:closeMatch,snomed:392247006,Insertion of catheter into artery,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225792,Invasive Ventilation,skos:closeMatch,snomed:226471000000101,Invasive ventilation,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:225401,Blood Cultured,skos:closeMatch,snomed:30088009,Blood culture,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:227194,Extubation,skos:closeMatch,snomed:271280005,Removal of endotracheal tube,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:224274,22 Gauge,skos:closeMatch,snomed:233520008,Peripheral venous cannula insertion,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:224263,Multi Lumen,skos:closeMatch,snomed:233527006,Central venous cannula insertion,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:221214,CT scan,skos:closeMatch,snomed:77477000,Computerized axial tomography,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:229351,Foley Catheter,skos:closeMatch,snomed:225088003,Insertion of indwelling urethral catheter,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:228129,Family updated by RN,skos:closeMatch,snomed:711066004,Liaising with family,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225469,OR Received,skos:closeMatch,snomed:397821002,Patient transfer to intensive care unit,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:224276,16 Gauge,skos:closeMatch,snomed:233520008,Peripheral venous cannula insertion,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229581,Portable Chest X-Ray,skos:broadMatch,snomed:399208008,Plain chest X-ray,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:224264,PICC Line,skos:closeMatch,snomed:425196008,Insertion of peripherally inserted central catheter,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225454,Urine Culture,skos:closeMatch,snomed:117010004,Urine culture,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225432,Transthoracic Echo,skos:closeMatch,snomed:433236007,Transthoracic echocardiography,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:221217,Ultrasound,skos:closeMatch,snomed:16310003,Ultrasonography,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225966,Nasal Swab,skos:closeMatch,snomed:312882009,Taking nasal swab,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:228128,Family updated by MD,skos:closeMatch,snomed:711066004,Liaising with family,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:224385,Intubation,skos:closeMatch,snomed:112798008,Insertion of endotracheal tube,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225451,Sputum Culture,skos:closeMatch,snomed:104173009,Microbial culture of sputum,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225470,OR Sent,skos:closeMatch,snomed:398068008,Patient transfer to postoperative anesthesia care unit,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:221216,X-ray,skos:closeMatch,snomed:168537006,Plain radiography,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:223253,Magnetic Resonance Imaging,skos:closeMatch,snomed:113091000,Magnetic resonance imaging,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225400,Bronchoscopy,skos:closeMatch,snomed:10847001,Bronchoscopy,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:224267,Cordis/Introducer,skos:closeMatch,snomed:233527006,Central venous cannula insertion,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:224560,PA Catheter,skos:closeMatch,snomed:65677008,Pulmonary catheterization with Swan-Ganz catheter,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:224270,Dialysis Catheter,skos:closeMatch,snomed:61740001,"Insertion of cannula for hemodialysis, vein to vein",HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225441,Hemodialysis,skos:closeMatch,snomed:302497006,Hemodialysis,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:227712,Chest Tube Removed,skos:closeMatch,snomed:238356005,Intercostal drain removal,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225802,Dialysis - CRRT,skos:closeMatch,snomed:714749008,Continuous renal replacement therapy,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225794,Non-invasive Ventilation,skos:closeMatch,snomed:428311008,Noninvasive ventilation,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225814,Stool Culture,skos:closeMatch,snomed:117028002,Stool culture,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:221223,EEG,skos:closeMatch,snomed:54550000,Electroencephalogram,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225444,Pan Culture,skos:closeMatch,snomed:30088009,Blood culture,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:228125,Family meeting held,skos:closeMatch,snomed:711070007,Coordination of family conference,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225439,Endoscopy,skos:closeMatch,snomed:423827005,Endoscopy,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225457,Abdominal X-Ray,skos:closeMatch,snomed:60654006,Diagnostic radiography of abdomen,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225462,Interventional Radiology,skos:closeMatch,snomed:240917005,Interventional radiology,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:224269,CCO PAC,skos:closeMatch,snomed:65677008,Pulmonary catheterization with Swan-Ganz catheter,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225789,Sheath (Venous),skos:closeMatch,snomed:423786009,Maintenance of vascular sheath,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229580,Line Placement at Bedside,skos:narrowMatch,snomed:392230005,Catheterization of vein,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:225202,Indwelling Port (PortaCath),skos:closeMatch,snomed:276838001,Implanted drug delivery system procedure,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:221255,Trans Esophageal Echo,skos:closeMatch,snomed:105376000,Transesophageal echocardiography,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225204,Midline,skos:closeMatch,snomed:425196008,Insertion of peripherally inserted central catheter,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
