itemid,label,abbreviation,category,unitname,loinc,loinc_label,omop_id,count,author_id,reviewer_id
220045,Heart Rate,HR,Routine Vital Signs,bpm,8867-4,Heart rate,3027018,1597325,0000-0001-8822-1884,0000-0002-9348-9284
220210,Respiratory Rate,RR,Respiratory,insp/min,9279-1,Respiratory rate,3024171,1563510,0000-0001-8822-1884,0000-0002-9348-9284
220277,O2 saturation pulseoxymetry,SpO2,Respiratory,%,59408-5,Oxygen saturation in Arterial blood by Pulse oximetry,40762499,1558846,0000-0001-8822-1884,0000-0002-9348-9284
220179,Non Invasive Blood Pressure systolic,NBPs,Routine Vital Signs,mmHg,76534-7,Systolic blood pressure by Noninvasive,21492239,853347,0000-0001-8822-1884,0000-0002-9348-9284
220180,Non Invasive Blood Pressure diastolic,NBPd,Routine Vital Signs,mmHg,76535-4,Diastolic blood pressure by Noninvasive,21492240,853280,0000-0001-8822-1884,0000-0002-9348-9284
220181,Non Invasive Blood Pressure mean,NBPm,Routine Vital Signs,mmHg,76536-2,Mean blood pressure by Noninvasive,21492241,850894,0000-0001-8822-1884,0000-0002-9348-9284
220052,Arterial Blood Pressure mean,ABPm,Routine Vital Signs,mmHg,8478-0,Mean blood pressure,3027598,586435,0000-0001-8822-1884,0000-0002-9348-9284
220050,Arterial Blood Pressure systolic,ABPs,Routine Vital Signs,mmHg,8480-6,Systolic blood pressure,3004249,585199,0000-0001-8822-1884,0000-0002-9348-9284
220051,Arterial Blood Pressure diastolic,ABPd,Routine Vital Signs,mmHg,8462-4,Diastolic blood pressure,3012888,585150,0000-0001-8822-1884,0000-0002-9348-9284
223761,Temperature Fahrenheit,Temperature F,Routine Vital Signs,Â°F,8310-5,Body temperature,3020891,356656,0000-0001-8822-1884,0000-0002-9348-9284
225312,ART BP Mean,ART BP Mean,Routine Vital Signs,mmHg,8478-0,Mean blood pressure,3027598,111179,0000-0001-8822-1884,0000-0002-9348-9284
