FID,DEATHS,LON,LAT
0,3,-0.13793,51.513418
1,2,-0.137883,51.513361
2,1,-0.137853,51.513317
3,1,-0.137812,51.513262
4,4,-0.137767,51.513204
5,2,-0.137537,51.513184
6,2,-0.1382,51.513359
7,2,-0.138045,51.513328
8,3,-0.138276,51.513323
9,2,-0.138223,51.513427
10,2,-0.138337,51.513381
11,1,-0.138563,51.513462
12,3,-0.138426,51.513216
13,1,-0.138378,51.513169
14,4,-0.138337,51.513116
15,1,-0.138645,51.51324
16,1,-0.138698,51.513164
17,1,-0.137924,51.513178
18,4,-0.137865,51.513111
19,3,-0.137811,51.513055
20,2,-0.138762,51.513441
21,1,-0.138799,51.513592
22,2,-0.139045,51.513402
23,2,-0.13897,51.51338
24,2,-0.138863,51.513411
25,1,-0.138752,51.513641
26,1,-0.138808,51.513693
27,3,-0.138856,51.513745
28,1,-0.138887,51.513676
29,1,-0.139239,51.51359
30,1,-0.139321,51.513663
31,1,-0.139316,51.513502
32,2,-0.139616,51.513583
33,2,-0.139719,51.513541
34,1,-0.140074,51.513298
35,1,-0.139094,51.513291
36,1,-0.139697,51.513013
37,1,-0.139327,51.512965
38,2,-0.139317,51.512893
39,8,-0.139187,51.512964
40,2,-0.139036,51.513025
41,1,-0.139209,51.513027
42,1,-0.138427,51.512831
43,1,-0.138624,51.512885
44,1,-0.138096,51.512526
45,1,-0.138035,51.512465
46,4,-0.137984,51.512428
47,1,-0.138065,51.512415
48,1,-0.138194,51.51251
49,1,-0.137818,51.512378
50,1,-0.137656,51.512447
51,4,-0.137584,51.512491
52,1,-0.13765,51.512374
53,1,-0.13745,51.512339
54,1,-0.137376,51.512364
55,1,-0.137327,51.512319
56,1,-0.13698,51.51254
57,2,-0.13718,51.512649
58,1,-0.137052,51.512692
59,1,-0.137695,51.512957
60,1,-0.137533,51.512765
61,2,-0.137419,51.51278
62,1,-0.137368,51.512726
63,1,-0.137325,51.512681
64,2,-0.137531,51.512914
65,2,-0.137562,51.513046
66,1,-0.137466,51.513074
67,2,-0.137386,51.513087
68,3,-0.137306,51.513122
69,1,-0.137089,51.513187
70,4,-0.136996,51.513214
71,15,-0.136859,51.513249
72,3,-0.136778,51.513271
73,4,-0.136705,51.5133
74,5,-0.136493,51.51316
75,2,-0.13633,51.513016
76,1,-0.136424,51.512921
77,2,-0.136523,51.51289
78,1,-0.136599,51.512859
79,1,-0.136699,51.51283
80,1,-0.136819,51.512782
81,1,-0.136973,51.512729
82,1,-0.136358,51.512868
83,1,-0.13663,51.512723
84,1,-0.136584,51.512654
85,1,-0.136423,51.512713
86,1,-0.136345,51.512615
87,1,-0.136437,51.512491
88,1,-0.136377,51.512449
89,1,-0.136197,51.512465
90,1,-0.136142,51.512413
91,2,-0.136102,51.512358
92,1,-0.13603,51.512271
93,1,-0.13631,51.512355
94,4,-0.13594,51.511991
95,2,-0.135858,51.512083
96,1,-0.1358,51.512031
97,4,-0.135717,51.51197
98,4,-0.135119,51.511882
99,1,-0.135144,51.51205
100,4,-0.135394,51.51225
101,1,-0.135409,51.512162
102,1,-0.135472,51.512212
103,2,-0.135765,51.512573
104,1,-0.135871,51.512575
105,2,-0.135976,51.512672
106,3,-0.136033,51.512727
107,1,-0.136115,51.512794
108,4,-0.13618,51.512846
109,1,-0.136083,51.512879
110,1,-0.136139,51.512939
111,7,-0.135329,51.512765
112,3,-0.135122,51.512844
113,8,-0.134645,51.512532
114,1,-0.134522,51.512198
115,1,-0.134967,51.512215
116,5,-0.135098,51.513154
117,8,-0.134394,51.513056
118,2,-0.134505,51.513165
119,1,-0.134437,51.513098
120,1,-0.134594,51.513238
121,2,-0.13464,51.513293
122,1,-0.134709,51.513379
