subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,confidence,comment,reviewer_id
northwestern-itemid:100001,Glucose,skos:exactMatch,omop_id:3004501,Glucose [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100002,Creatinine,skos:exactMatch,omop_id:3016723,Creatinine [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100003,"Calcium, Total",skos:exactMatch,omop_id:3006906,Calcium [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100004,Urea Nitrogen,skos:exactMatch,omop_id:3013682,Urea nitrogen [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100005,MCH,skos:exactMatch,omop_id:3012030,MCH [Entitic mass] by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100006,Hematocrit,skos:exactMatch,omop_id:3023314,Hematocrit [Volume Fraction] of Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100007,Hemoglobin,skos:exactMatch,omop_id:3000963,Hemoglobin [Mass/volume] in Blood,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100008,RDW,skos:exactMatch,omop_id:3019897,Erythrocyte distribution width [Ratio] by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100009,Magnesium,skos:exactMatch,omop_id:3001420,Magnesium [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100010,Sodium,skos:exactMatch,omop_id:3019550,Sodium [Moles/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100011,Potassium,skos:exactMatch,omop_id:3023103,Potassium [Moles/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100012,Chloride,skos:exactMatch,omop_id:3014576,Chloride [Moles/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100013,Total CO2,skos:exactMatch,omop_id:3015632,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100014,Platelet Count,skos:exactMatch,omop_id:3024929,Platelets [#/volume] in Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100015,Phosphate,skos:exactMatch,omop_id:3011904,Phosphate [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100016,White Blood Cells,skos:exactMatch,omop_id:3000905,Leukocytes [#/volume] in Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100017,MCV,skos:exactMatch,omop_id:3023599,MCV [Entitic volume] by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100018,MCHC,skos:exactMatch,omop_id:3009744,MCHC [Mass/volume] by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100019,Red Blood Cells,skos:exactMatch,omop_id:3020416,Erythrocytes [#/volume] in Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100020,"Bilirubin, Total",skos:exactMatch,omop_id:3024128,Bilirubin.total [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100021,Albumin,skos:exactMatch,omop_id:3024561,Albumin [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100022,Neutrophils,skos:exactMatch,omop_id:3008342,Neutrophils/100 leukocytes in Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100023,Lymphocytes,skos:exactMatch,omop_id:3037511,Lymphocytes/100 leukocytes in Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100024,Eosinophils,skos:exactMatch,omop_id:3010457,Eosinophils/100 leukocytes in Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100025,Basophils,skos:exactMatch,omop_id:3013869,Basophils/100 leukocytes in Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100026,Monocytes,skos:exactMatch,omop_id:3011948,Monocytes/100 leukocytes in Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100027,"Protein, Total",skos:exactMatch,omop_id:3020630,Protein [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100028,Immature Granulocytes,skos:exactMatch,omop_id:3050479,Immature granulocytes/100 leukocytes in Blood,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100029,Oxygen,skos:exactMatch,omop_id:3020716,Inhaled oxygen concentration,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100030,INR(PT),skos:exactMatch,omop_id:3022217,INR in Platelet poor plasma by Coagulation assay,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100031,Lactate,skos:exactMatch,omop_id:3047181,Lactate [Moles/volume] in Blood,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100032,Asparate Aminotransferase (AST),skos:exactMatch,omop_id:3013721,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100033,Alkaline Phosphatase,skos:exactMatch,omop_id:3035995,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100034,PT,skos:exactMatch,omop_id:3034426,Prothrombin time (PT),semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100035,Absolute Basophil Count,skos:exactMatch,omop_id:3013429,Basophils [#/volume] in Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100036,Absolute Eosinophil Count,skos:exactMatch,omop_id:3028615,Eosinophils [#/volume] in Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100037,Absolute Lymphocyte Count,skos:exactMatch,omop_id:3004327,Lymphocytes [#/volume] in Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100038,Absolute Neutrophil Count,skos:exactMatch,omop_id:3013650,Neutrophils [#/volume] in Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100039,Absolute Monocyte Count,skos:exactMatch,omop_id:3033575,Monocytes [#/volume] in Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100040,Anion Gap,skos:exactMatch,omop_id:3037278,Anion gap 4 in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100041,Anion Gap,skos:exactMatch,omop_id:3045716,Anion gap in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100042,Alanine Aminotransferase (ALT),skos:exactMatch,omop_id:3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100043,Nucleated Red Cells,skos:exactMatch,omop_id:40761514,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100044,Free Calcium,skos:exactMatch,omop_id:3021119,Calcium.ionized [Moles/volume] in Blood,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100045,Glucose,skos:exactMatch,omop_id:3000483,Glucose [Mass/volume] in Blood,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100046,PTT,skos:exactMatch,omop_id:3018677,aPTT in Platelet poor plasma by Coagulation assay,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100047,"Potassium, Whole Blood",skos:exactMatch,omop_id:3005456,Potassium [Moles/volume] in Blood,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100048,"Fibrinogen, Functional",skos:exactMatch,omop_id:3016407,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100049,"Bilirubin, Direct",skos:exactMatch,omop_id:3027597,Bilirubin.direct [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100050,"Sodium, Whole Blood",skos:exactMatch,omop_id:3000285,Sodium [Moles/volume] in Blood,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100052,Ferritin,skos:exactMatch,omop_id:3001122,Ferritin [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100053,C-Reactive Protein,skos:exactMatch,omop_id:3020460,C reactive protein [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100055,Lactate Dehydrogenase (LD),skos:exactMatch,omop_id:3016436,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100056,Triglycerides,skos:exactMatch,omop_id:3022192,Triglyceride [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100057,Troponin T,skos:exactMatch,omop_id:3019800,Troponin T.cardiac [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100059,Troponin I,skos:exactMatch,omop_id:3021337,Troponin I.cardiac [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100060,PEEP,skos:exactMatch,omop_id:3022875,Positive end expiratory pressure setting Ventilator,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100061,Specific Gravity,skos:exactMatch,omop_id:3000330,Specific gravity of Urine by Test strip,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100062,Glucose,skos:exactMatch,omop_id:3024629,Glucose [Mass/volume] in Urine by Test strip,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100063,Protein,skos:exactMatch,omop_id:3005897,Protein [Mass/volume] in Urine by Test strip,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100064,pH,skos:exactMatch,omop_id:3022621,pH of Urine by Test strip,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100065,Ketone,skos:exactMatch,omop_id:3023539,Ketones [Mass/volume] in Urine by Test strip,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100067,Ventilator,skos:exactMatch,omop_id:3004921,Ventilation mode Ventilator,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100068,Urobilinogen,skos:exactMatch,omop_id:3037072,Urobilinogen [Mass/volume] in Urine by Test strip,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100069,Uric Acid,skos:exactMatch,omop_id:3037556,Urate [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100070,Bacteria,skos:exactMatch,omop_id:3025255,Bacteria [#/area] in Urine sediment by Microscopy high power field,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100071,NTproBNP,skos:exactMatch,omop_id:3029187,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100074,Hyaline Casts,skos:exactMatch,omop_id:3022509,Hyaline casts [#/area] in Urine sediment by Microscopy low power field,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100075,D-Dimer,skos:exactMatch,omop_id:3048530,Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100076,Globulin,skos:exactMatch,omop_id:3021886,Globulin [Mass/volume] in Serum,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100077,Tidal Volume,skos:exactMatch,omop_id:3012410,Tidal volume setting Ventilator,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100078,RBC,skos:exactMatch,omop_id:3035124,Erythrocytes [#/area] in Urine sediment by Microscopy high power field,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100079,% Hemoglobin A1c,skos:exactMatch,omop_id:3004410,Hemoglobin A1c/Hemoglobin.total in Blood,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100080,Vitamin B12,skos:exactMatch,omop_id:3000593,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100082,"Urine Casts, Other",skos:exactMatch,omop_id:3005658,Casts [#/area] in Urine sediment by Microscopy low power field,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100083,WBC,skos:exactMatch,omop_id:3035583,Leukocytes [#/area] in Urine sediment by Microscopy high power field,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100084,Folate,skos:exactMatch,omop_id:3036987,Folate [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100085,Creatine Kinase (CK),skos:exactMatch,omop_id:3007220,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100086,"Cholesterol, HDL",skos:exactMatch,omop_id:3007070,Cholesterol in HDL [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100087,"Osmolality, Urine",skos:exactMatch,omop_id:3026782,Osmolality of Urine,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100088,"Cholesterol, Total",skos:exactMatch,omop_id:3027114,Cholesterol [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100089,"Osmolality, Measured",skos:exactMatch,omop_id:3008295,Osmolality of Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100090,"Cholesterol, LDL, Calculated",skos:exactMatch,omop_id:3028288,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100091,Lipase,skos:exactMatch,omop_id:3004905,Lipase [Enzymatic activity/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100092,Thyroid Stimulating Hormone,skos:exactMatch,omop_id:3009201,Thyrotropin [Units/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100093,"RBC, Other Fluid",skos:exactMatch,omop_id:3010910,Erythrocytes [#/volume] in Body fluid,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
