subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,confidence,comment,reviewer_id
northwestern-ndc:50428301424,ACETAMINOPHEN  325 MG ORAL TAB,skos:exactMatch,omop_id:1125315,acetaminophen,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:990798420,SODIUM CHLORIDE 0.9 % IV SOLP,skos:exactMatch,omop_id:19081343,"Sodium Chloride, Bacteriostatic",semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:06467975902,FUROSEMIDE 10 MG/ML INJ SOLN,skos:exactMatch,omop_id:956874,furosemide,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:06673377301,INSULIN LISPRO 100 UNITS/ML SUBQ SOLN,skos:exactMatch,omop_id:1550023,insulin lispro,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:06978418010,POLYETHYLENE GLYCOL 3350 17 G ORAL PWPK,skos:exactMatch,omop_id:986417,polyethylene glycol 3350,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:409272331,HEPARIN (PORCINE)  5000 UNITS/ML INJ SOLN,skos:exactMatch,omop_id:1367571,heparin,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:06864540070,PANTOPRAZOLE 40 MG ORAL TBEC,skos:exactMatch,omop_id:948078,pantoprazole,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:536116710,SENNOSIDES-DOCUSATE SODIUM 8.6-50 MG ORAL TAB,skos:exactMatch,omop_id:941258,docusate,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:409677802,LORAZEPAM 2 MG/ML INJ SOLN,skos:exactMatch,omop_id:791967,lorazepam,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:06203784920,ENOXAPARIN  40 MG SUBQ SYRG,skos:exactMatch,omop_id:1301025,enoxaparin,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:338350841,CEFAZOLIN IN DEXTROSE (ISO-OS) 2 G/100 ML IV PGBK,skos:exactMatch,omop_id:1771162,cefazolin,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:50428271531,ASPIRIN   81 MG ORAL TBEC,skos:exactMatch,omop_id:19049167,Buffered aspirin,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:06373970410,HYDROCODONE-ACETAMINOPHEN 5-325 MG ORAL TAB,skos:exactMatch,omop_id:1174888,hydrocodone,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:07307010315,INSULIN ASPART U-100 100 UNIT/ML (3 ML) SUBQ INPN,skos:exactMatch,omop_id:1567198,"insulin aspart, human",semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:05515020200,PANTOPRAZOLE 40 MG IV SOLR,skos:exactMatch,omop_id:948078,pantoprazole,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:06332366441,DIPHENHYDRAMINE HCL 50 MG/ML INJ SOLN,skos:exactMatch,omop_id:1129625,diphenhydramine,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:70092155844,LABETALOL 20 MG/4 ML (5 MG/ML) IV SYRG,skos:exactMatch,omop_id:1386957,labetalol,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:574705012,BISACODYL 10 MG RECT SUPP,skos:exactMatch,omop_id:924939,bisacodyl,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:06864541754,ATORVASTATIN 40 MG ORAL TAB,skos:exactMatch,omop_id:1545958,atorvastatin,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:06191914130,LIDOCAINE 5 % TOP PTMD,skos:exactMatch,omop_id:989878,lidocaine,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:05253317918,HEPARIN (PORCINE) IN 0.45% NACL 25000 UNIT/250 ML IV SOLP,skos:exactMatch,omop_id:1367571,heparin,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:990707526,POTASSIUM CHLORIDE IN WATER 20 MEQ/100 ML IV PGBK,skos:exactMatch,omop_id:19049105,potassium chloride,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:04116323351,ASPIRIN   81 MG ORAL CHEW,skos:exactMatch,omop_id:19049167,Buffered aspirin,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:03335827630,OXYCODONE   5 MG ORAL TAB,skos:exactMatch,omop_id:1124957,oxycodone,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:06820962301,"ALBUMIN, HUMAN 5 % IV SOLP",skos:exactMatch,omop_id:1344143,"albumin human, USP",semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:409255211,HYDROMORPHONE  1 MG/ML INJ SOLN,skos:exactMatch,omop_id:1126658,hydromorphone,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
