subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,confidence,comment,reviewer_id
northwestern-ndc:50428301424,ACETAMINOPHEN  325 MG ORAL TAB,skos:exactMatch,rxnorm:161,acetaminophen,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:990798420,SODIUM CHLORIDE 0.9 % IV SOLP,skos:exactMatch,rxnorm:219965,"Sodium Chloride, Bacteriostatic",semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:06467975902,FUROSEMIDE 10 MG/ML INJ SOLN,skos:exactMatch,rxnorm:4603,furosemide,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:06673377301,INSULIN LISPRO 100 UNITS/ML SUBQ SOLN,skos:exactMatch,rxnorm:86009,insulin lispro,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:06978418010,POLYETHYLENE GLYCOL 3350 17 G ORAL PWPK,skos:exactMatch,rxnorm:221147,polyethylene glycol 3350,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:409272331,HEPARIN (PORCINE)  5000 UNITS/ML INJ SOLN,skos:exactMatch,rxnorm:5224,heparin,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:06864540070,PANTOPRAZOLE 40 MG ORAL TBEC,skos:exactMatch,rxnorm:40790,pantoprazole,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:536116710,SENNOSIDES-DOCUSATE SODIUM 8.6-50 MG ORAL TAB,skos:exactMatch,rxnorm:82003,docusate,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:409677802,LORAZEPAM 2 MG/ML INJ SOLN,skos:exactMatch,rxnorm:6470,lorazepam,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
northwestern-ndc:06203784920,ENOXAPARIN  40 MG SUBQ SYRG,skos:exactMatch,rxnorm:67108,enoxaparin,semapv:MappingChaining,orcid:0000-0001-5561-6396,1,,orcid:0000-0001-5561-6396
