subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,confidence,comment,reviewer_id
northwestern-itemid:100001,Glucose,skos:exactMatch,loinc:2345-7,Glucose [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100002,Creatinine,skos:exactMatch,loinc:2160-0,Creatinine [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100003,"Calcium, Total",skos:exactMatch,loinc:17861-6,Calcium [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100004,Urea Nitrogen,skos:exactMatch,loinc:3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100005,MCH,skos:exactMatch,loinc:785-6,MCH [Entitic mass] by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100006,Hematocrit,skos:exactMatch,loinc:4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100007,Hemoglobin,skos:exactMatch,loinc:718-7,Hemoglobin [Mass/volume] in Blood,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100008,RDW,skos:exactMatch,loinc:788-0,Erythrocyte distribution width [Ratio] by Automated count,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100009,Magnesium,skos:exactMatch,loinc:19123-9,Magnesium [Mass/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100010,Sodium,skos:exactMatch,loinc:2951-2,Sodium [Moles/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100011,Potassium,skos:exactMatch,loinc:2823-3,Potassium [Moles/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
northwestern-itemid:100012,Chloride,skos:exactMatch,loinc:2075-0,Chloride [Moles/volume] in Serum or Plasma,semapv:ManualMappingCuration,orcid:0000-0001-8822-1884,1,,orcid:0000-0002-9348-9284
